 Flux (Janskies) at 10 Mpc and normalised flux for a model with the following parameters: 			
 Luminosity: 4.0e9 Lsun
 Mass-loss rate: 3.0e-3 Msun/yr
 Wind terminal velocity: 150.0 km/s
 Effective temperature (at optical depth 10): 29.9e3 K 
 Effective temperature (at optical depth 2/3): 17.2e3 K 
 Inner boundary: 16.0e13 cm 
 Abundances (mass fractions): H=7.010E-01,He=2.800E-01,C=3.026E-03,N=1.182E-03,O=9.634E-03,Fe=1.360E-03 
 	 Wavelength 	 Flux 	 	 Normalised Flux 
 	 (Angstrom) 	 (Jy (at 10 Mpc)) 	 
	10.0145783212	1.0034e-107	1.0
	10.0212620686	1.0034e-107	1.0
	10.0279503827	1.0034e-107	1.0
	10.0346431802	1.0034e-107	1.0
	10.0413402928	1.0034e-107	1.0
	10.0480419727	1.0034e-107	1.0
	10.0547481357	1.0034e-107	1.0
	10.0614586132	1.0034e-107	1.0
	10.0681736581	1.0034e-107	1.0
	10.0748932707	1.0034e-107	1.0
	10.0816172819	1.0034e-107	1.0
	10.088345861	1.0034e-107	1.0
	10.0950788384	1.0034e-107	1.0
	10.101816469	1.0034e-107	1.0
	10.1085584979	1.0034e-107	1.0
	10.1153050098	1.0034e-107	1.0
	10.1220560903	1.0034e-107	1.0
	10.1288114829	1.0034e-107	1.0
	10.1355715294	1.0034e-107	1.0
	10.1423361447	1.0034e-107	1.0
	10.1491052432	1.0034e-107	1.0
	10.1558787386	1.0034e-107	1.0
	10.1626568028	1.0034e-107	1.0
	10.1694394358	1.0034e-107	1.0
	10.1762265516	1.0034e-107	1.0
	10.1830182364	1.0034e-107	1.0
	10.1898144904	1.0034e-107	1.0
	10.1966151403	1.0034e-107	1.0
	10.2034205328	1.0034e-107	1.0
	10.210230321	1.0034e-107	1.0
	10.2170446784	1.0034e-107	1.0
	10.223863605	1.0034e-107	1.0
	10.2306871011	1.0034e-107	1.0
	10.2375151666	1.0034e-107	1.0
	10.2443477141	1.0034e-107	1.0
	10.2511848308	1.0034e-107	1.0
	10.2580265169	1.0034e-107	1.0
	10.2648727723	1.0034e-107	1.0
	10.2717236851	1.0034e-107	1.0
	10.2785791674	1.0034e-107	1.0
	10.2854391311	1.0034e-107	1.0
	10.2923036641	1.0034e-107	1.0
	10.2991728549	1.0034e-107	1.0
	10.306046615	1.0034e-107	1.0
	10.3129248558	1.0034e-107	1.0
	10.3198078434	1.0034e-107	1.0
	10.3266953114	1.0034e-107	1.0
	10.3335875266	1.0034e-107	1.0
	10.3404840438	1.0034e-107	1.0
	10.3473853975	1.0034e-107	1.0
	10.3542913204	1.0034e-107	1.0
	10.3612019017	1.0034e-107	1.0
	10.3681169626	1.0034e-107	1.0
	10.375036682	1.0034e-107	1.0
	10.3819611498	1.0034e-107	1.0
	10.3888900966	1.0034e-107	1.0
	10.3958237022	1.0034e-107	1.0
	10.4027619665	1.0034e-107	1.0
	10.4097047994	1.0034e-107	1.0
	10.4166522911	1.0034e-107	1.0
	10.4236044416	1.0034e-107	1.0
	10.4305611604	1.0034e-107	1.0
	10.4375226289	1.0034e-107	1.0
	10.4444886656	1.0034e-107	1.0
